Size;Time;Proc
5;1.7792e-05;8
5;8.60542e-06;8
4;3.91901e-05;8
4;7.34627e-06;8
4;6.60121e-06;8
4;5.7742e-06;8
4;6.95884e-06;8
4;6.28233e-05;16
4;9.56655e-06;16
4;1.03638e-05;16
4;9.35793e-06;16
4;8.76188e-06;16
5;7.67633e-05;16
5;1.25393e-05;16
5;1.21072e-05;16
5;1.11312e-05;16
5;1.18464e-05;16
6;0.000163496;16
6;2.69338e-05;16
6;2.61515e-05;16
6;2.44156e-05;16
6;2.41846e-05;16
7;0.000204623;16
7;3.92869e-05;16
7;3.94657e-05;16
7;3.97041e-05;16
7;3.75509e-05;16
8;0.000353821;16
8;0.000123784;16
8;0.000117004;16
8;0.00012067;16
8;0.000115007;16
9;0.000718787;16
9;0.000463277;16
9;0.00036744;16
9;0.000371695;16
9;0.000365667;16
10;0.00393934;16
10;0.00321904;16
10;0.00281832;16
10;0.00267818;16
10;0.00300689;16
11;0.0218619;16
11;0.0138854;16
11;0.0212756;16
11;0.0127995;16
11;0.0153916;16
12;0.109597;16
12;0.125423;16
12;0.0767578;16
12;0.0630521;16
12;0.059746;16
12;0.100073;16
12;0.108425;16
12;0.0526709;16
12;0.0688044;16
12;0.049755;16
11;0.0164499;16
11;0.0227092;16
11;0.0182127;16
11;0.017524;16
11;0.0173674;16
10;0.00366729;16
10;0.00302321;16
10;0.0024098;16
10;0.00251255;16
10;0.00254023;16
9;0.000878356;16
9;0.000544161;16
9;0.000500828;16
9;0.000486411;16
9;0.000443086;16
8;0.000364944;16
8;0.00017935;16
8;0.000161484;16
8;0.000160575;16
8;0.000163235;16
7;0.00020583;16
7;4.48301e-05;16
7;4.12613e-05;16
7;4.33624e-05;16
7;4.17382e-05;16
6;0.000162117;16
6;2.78577e-05;16
6;2.22027e-05;16
6;2.16961e-05;16
6;2.14577e-05;16
5;9.07779e-05;16
5;1.18166e-05;16
5;1.2286e-05;16
5;1.09151e-05;16
5;1.20774e-05;16
4;7.70092e-05;16
4;1.29864e-05;16
4;1.21668e-05;16
4;1.09226e-05;16
4;1.19209e-05;16
