Size;Time;Thread
5;5.02765e-05;32
5;4.19132e-05;32
5;3.17842e-05;32
5;3.04021e-05;32
5;3.37362e-05;32
5;3.37921e-05;64
5;3.3468e-05;64
5;3.40454e-05;64
5;3.52636e-05;64
5;4.22895e-05;64
6;0.000117697;1
6;0.000118442;1
6;0.000128713;1
6;0.000117913;1
6;0.00011804;1
6;0.000146691;2
6;0.000112567;2
6;0.000105526;2
6;0.000105333;2
6;0.000102099;2
6;8.69706e-05;4
6;8.79057e-05;4
6;9.78634e-05;4
6;9.8478e-05;4
6;9.87351e-05;4
6;9.20333e-05;8
6;9.57437e-05;8
6;8.40984e-05;8
6;8.22991e-05;8
6;8.84943e-05;8
6;9.34005e-05;16
6;6.3464e-05;16
6;9.00626e-05;16
6;8.84607e-05;16
6;8.41282e-05;16
6;6.10985e-05;32
6;6.6828e-05;32
6;6.94022e-05;32
6;7.77058e-05;32
6;7.6592e-05;32
6;6.3926e-05;64
6;5.86472e-05;64
6;5.79879e-05;64
6;6.38478e-05;64
6;7.75009e-05;64
7;0.000286572;1
7;0.000293091;1
7;0.000176653;1
7;0.00017634;1
7;0.000176538;1
7;0.000213873;2
7;0.000213403;2
7;0.0002052;2
7;0.000196043;2
7;0.0001936;2
7;0.000224557;4
7;0.000227481;4
7;0.000206854;4
7;0.000217397;4
7;0.000199135;4
7;0.000173993;8
7;0.000216078;8
7;0.000195011;8
7;0.000191484;8
7;0.000195336;8
7;0.000125717;16
7;0.000128757;16
7;0.000128023;16
7;0.000129696;16
7;0.000126358;16
7;0.0001099;32
7;0.00011047;32
7;9.96217e-05;32
7;0.000100553;32
7;0.000101261;32
7;8.79504e-05;64
7;0.000101004;64
7;9.49539e-05;64
7;0.000101477;64
7;9.51998e-05;64
8;0.000560246;1
8;0.000559822;1
8;0.000559568;1
8;0.000558514;1
8;0.000563193;1
8;0.000697188;2
8;0.000699218;2
8;0.000690568;2
8;0.000700254;2
8;0.000705987;2
8;0.00050284;4
8;0.00050772;4
8;0.000512552;4
8;0.000506707;4
8;0.000500482;4
8;0.000347171;8
8;0.000333663;8
8;0.000335123;8
8;0.000343151;8
8;0.000335842;8
8;0.000230312;16
8;0.000216831;16
8;0.000229813;16
8;0.000237808;16
8;0.000222236;16
8;0.000200462;32
8;0.000195034;32
8;0.000198346;32
8;0.000192732;32
8;0.000193879;32
8;0.000133112;64
8;0.000137221;64
8;0.00013053;64
8;0.000129316;64
8;0.000128761;64
9;0.00237675;1
9;0.00251592;1
9;0.00246755;1
9;0.00247376;1
9;0.00246944;1
9;0.00295471;2
9;0.00211709;2
9;0.00212306;2
9;0.00214563;2
9;0.00211223;2
9;0.00158491;4
9;0.00124134;4
9;0.00116589;4
9;0.00118627;4
9;0.00118298;4
9;0.000797369;8
9;0.000787672;8
9;0.000728637;8
